lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
  3460.930   486.987  1461.800  1096.990   490.933  4972.800  1235.580   140.239   105.596  2007.380  2052.470    54.147   655.322   401.258   159.722    70.415   391.249  2420.080   131.796    53.175   110.228  7785.060  1506.130 14760.900
MYL6      SPAG7     DYNLT3    HNRPDL    ID1       IFT57     FOSB      DNAJB4    GLA       NAA38     APBB1     DBN1      TPD52L2   MT2A      BOD1      PFAS      UBE2R2    KCTD2     C12orf62  MSRB3     CCDC111   MGA       SYCP2     LRRFIP1
 18722.000  6109.620  1536.890 21485.100   519.688  4161.190  1280.510  5371.830  1999.960  4720.090   977.084 27188.800 14702.800  5517.010  1864.880 12709.700  2766.470  1081.560  2495.030  4619.940   534.529   122.779   831.985    88.303
 15562.900  5163.980  1317.390 17490.500   445.268  3867.400  1116.030  4701.220  1635.010  4107.110   831.885 20424.700 10942.500  3026.750  1717.500 10838.900  2425.330   910.314  2159.170  4006.140   419.809    94.668   650.130    68.632
 12642.500  4220.470  1036.910 13392.600   337.208  3060.450   847.309  3519.620  1235.880  3408.980   617.612 16498.500  9133.330  2557.750  1298.540  8455.760  1934.680   681.627  2270.450  3138.690   323.000    76.899   552.322    48.795
  8805.760  2832.550   750.542 11022.900   267.395  1970.050   654.481  2797.290  1043.760  2127.870   518.055 13407.700  6975.490  2809.530   952.131  6347.880  1329.980   571.290   659.755  2293.310   278.419    60.309   382.974    50.243
CDV3      TSC22D1   TAB2      HMGA1     DENND2A   LIMS1     SF3B5     HJURP     TRAM2     SIRPA     ASF1A     APRT      FAM101B   RNF114    HMGB2     GEMIN6    C15orf38-AC6orf130  NUDT15    TES       MKRN1     BCAR1     SYNC      FADS3
 10176.200  1222.750  2290.870  2518.720   310.067  7325.960  6574.560   111.283  3715.810  7665.130  4525.150  5823.300  2383.370  2655.640  5583.700  4482.990  4488.540   628.039  6700.420 24275.200  2552.340 11027.900  9891.740  1319.720
  8937.510  1043.140  1867.770  2227.720   249.404  6517.050  6018.140    88.127  3088.620  6800.240  3905.370  4811.350  2383.000  2435.140  4916.880  3625.140  3835.380   563.787  5330.650 20967.800  2083.460  8953.150  8294.450  1099.510
  6694.080   772.214  1490.550  1622.060   204.837  5228.950  4831.860    68.950  2839.480  5163.910  3009.390  3949.890  1708.910  1789.390  4018.100  2893.130  2942.770   410.065  4545.350 16247.700  1630.110  7281.630  6503.480   846.177
  5384.120   660.049  1139.760  1380.320   149.077  3533.610  3139.320    57.324  1470.050  4001.460  2334.670  2795.010  1314.500  1440.760  2648.120  2256.510  2344.800   347.050  3098.230 12518.200  1318.240  5427.080  5066.080   693.189
DPP7      CCBE1     ZFAND1    MACROD1   C10orf54  UBR7      YAF2      DYNLRB1   CHCHD5    RAN       ARNT2     POLD4     STAM      PCNP      UBL7      ZZEF1     PPP1R14B  MANF      WDYHV1    MPND      C19orf22  ADAL      CAMK1     ALDH3A2
  3690.480  1517.590  1111.820  1975.240  2337.600  5647.510   457.995  8291.730  2077.100 18096.000   720.750  4637.340 13404.300  8328.520  4718.050  1426.130  1324.790 13016.600  1767.640   201.707   151.321   550.573  4239.210  4184.050
  3142.830  1290.540   944.131  1660.930  2050.240  4653.490   382.774  6479.790  1824.790 12058.300   616.263  3976.660 11902.300  7374.520  4030.850   965.385  1233.060  9528.160  1463.000   176.352   126.136   431.799  3570.360  3545.000
  2483.930  1015.320   685.789  1305.770  1576.540  3649.420   295.077  5009.130  1432.550 10092.300   469.685  3126.760  9588.200  5777.170  3162.280   888.058   914.678  8045.390  1136.110   126.123    98.191   343.207  2740.010  2726.470
  1865.620   777.523   626.852  1016.320  1226.060  2931.590   242.247  4440.410  1063.920  9205.230   386.083  2388.550  6616.020  4287.640  2462.380   649.984   730.479  6456.230   942.371   117.549    80.779   290.594  2299.990  2262.620
